codi,nom,estat_us,nif,nif_normalitzat,contacte,telefon,mobil,email,web,adreca,poblacio,cp
11,Chocolates Solé SA,inactiu,A08593113,A08593113,Manel,937 29 00 18,6182879447,info@chocolatessole.com,https://www.chocolatessole.com/,"Carrer d'Edison, 7, 9, 08210 Barberà del Vallès, Barcelona",,8210
12,Prat Munne SL,habitual,B59147348,B59147348,Prat Munne,933353039,689772825,ventaspm@prat-munne.com,http://pratmunne.e.telefonica.net/quienes-somos.ht,"Ctra. del Mig, 67,  L'Hospitalet de Llobregat, Barcelona",,8940
13,Tastets serveis gastronòmics SL,ocasional,B64856099,B64856099,Pau/Jordi,932979008,,info@tastets.cat,https://www.tastets.cat/,"Carrer A, Nau 7 Polígon Industrial Cal Vidal 08692 Puig-reig",,8692
14,La veganeria SCCL,ocasional,46137012R,46137012R,Pau,644 78 84 89,630161550,info@laveganeriadelborn.com,https://www.laveganeriadelborn.com/,"Av. de Francesc Cambó, 16 Mercat Santa Caterina. parada 159-",,8003
15,Qualitats alimentacio SL,habitual,B65161887,B65161887,,936 59 28 90,625 148 578,qualitasalimentacio@gmail.com,https://qualitasdalimentacio.es/,"POLIGON INDUSTRIAL ROQUETES, 3, NAVE 8, 08849 Sant Climent d",,8849
16,EL Tros d'ordal SL,habitual,B65790792,B65790792,,,620 58 09 56,eltrosdordal@gmail.com,https://verdures.cat/,"Carrer de Sarriera, 48, 08720 Vilafranca del Penedès, Barcel",,8720
17,Hortec SSL,habitual,F59889782,F59889782,,935 56 45 00,,info@hortec.org,https://hortec.org/es/,"Carrer Transversal 2, 53, Sants-Montjuïc, 08040 Barcelona",,8040
18,Tiberis,habitual,B66171935,B66171935,Albert del Campo,,625710633,,,"Carrer del Mig, 7, 08415 Bigues i Riells, Barcelona",,8415
19,Dolça Pallars,inactiu,B25310996,B25310996,Sonia Clotet Estrada,973237904,,soniadafne@hotmail.com,,"CALLE MAYOR, NÚMERO 33. 25560, SORT, LLEIDA",,25560
20,Pere Ojeda Peláez (MEL),habitual,B-62271507,B62271507,Pere ojeda Peláez (Mel),,,,,,,
21,Eudelac /MD lactics SCCL),habitual,B66334590,B66334590,,93 659 28 90,,info@mdlactics.com,http://www.eudelac.com/,"Carrer Potassi, 11, 08755 Castellbisbal, Barcelona",Barcelona,8755
22,L'Olivera SCCL,ocasional,F25014176,F25014176,,973 33 00 92,618 304 483,olivera@olivera.org,https://olivera.org/es/,"La Plana, s/n, 25268 Vallbona de les Monges, Lleida",,25268
23,FUNDACIO PRIVADA MAS ALBORNÀ (MALLART),inactiu,G63570709,G63570709,,938 92 10 50,,comunicacio@masalborna.org,https://masalborna.org/es/mallart-artesans-xarcute,"Carrer Verema, 1, 08720 Vilafranca del Penedès, Barcelona",,8720
24,Artipa fleca Sl,inactiu,B67129742,B67129742,,,654745471,INFO@ARTIPA.CAT,https://artipa.cat/es,"Passeig Arenal, 21, 08552 Taradell, Barcelona",,8552
25,BIOARTESA 2012 SL,inactiu,B18983874,B18983874,,,,,,,,
26,A Granel SCCL,ocasional,ESF66973348,F66973348,,,634 628 656,distribucio@agranel.coop,https://distribucio.agranel.coop/,"C. Sant Antoni Maria Claret, 175-177, loc.2",,8041
28,Mentabio SCP,inactiu,J66289265,J66289265,OLGA CASABAYÓ,,647 842 193,mentabio@mentabio.com,https://www.mentabio.com/,"Carrer de la Diputació, 37, local 2, 08770 Sant Sadurní d'An",,8770
29,CONNORSA CONSERVAS DEL NORTE SA,inactiu,46962039H,46962039H,,986708233,,informatica@connorsa.es,https://www.aecoctrade.es/escaparate/empresa/conno,,,
30,CONSORCIO ESPAÑOL CONSERVERO SA,inactiu,B-39.002.183,B39002183,,942 66 00 86,,grupoconsorcio@grupoconsorcio.com,https://www.grupoconsorcio.com/,Calle Eguilior 1 · 39740 Santoña,,39740
31,SENSLAC,inactiu,,,BEATRICE,,607443119,comercial@senslac.com,https://senslac.com/,"Calle Osona 15, 08105 - Sant Fost de Campsentelles",Barcelona,8015
32,DISTRIBUCIONES CRISADE SL,inactiu,B66824061,B66824061,,,,,,"Cl Juan De Garay, Num. 114, Bajos 08041 - Barcelona",Barcelona,8041
33,ESSABO (Jabones Beltran),inactiu,B12008769,B12008769,,964 53 08 54,,jabones@jabonesbeltran.com,https://essabo.com/,"Jabones Beltrán, Pol. Ind. Ramonet s/n, 12550 Almazora, Cast",,12550
34,VINS DEL MONTSANT,habitual,B43829647,B43829647,,902 108 462,634 871 709,at_cliente@vinissimus.com,https://www.vinissimus.com/es/region/espana/montsa,"Mas de les Vinyes, 43373 s/n, Tarragona",,43373
35,ALTERNATIVA 3,inactiu,F12329876,F12329876,,937869379,937669379,hola@alternativa3.com,https://alternativa3.com/,"CALLE PUIGBARRAL, 34 TERRASA",,8227
36,ALVILARDAN,habitual,B62303201,B62303201,,93 819 98 08,,contacto@alvilardan.es,https://www.alvilardan.es/,"Camí de la Farinera, S/N (Pol. Ind. Pla de l’Estació).",,8730
37,AROMIK,inactiu,,,,646241666,,info@aromik.cat,https://www.aromik.cat/es,"Planteles Lloveras SL, 1 bis, Cami Pla de la Torreta, Sant A",,8392
38,BdGust,inactiu,B66927377,B66927377,,628771707,679 01 86 58,info@bdegust.beer,https://es.bdegust.beer/,"Carrer Hostal nou, 5, 08694 Guardiola de Berguedà,",,8694
39,B-Grup,habitual,A58304247,A58304247,,932602424,93 261 03 17,bgrup@bgrup.es,https://www.bgrup.es/,Avinguda del Maresme 66Barcelona,,8940
40,Cervezas Florestina,inactiu,G67162529,G67162529,,640142551,,info@cervezaflorestina.com,https://cervezaflorestina.com/?lang=es,"Carrer Quadra de Canals, 5 La Floresta",,8198
41,Dietinat,inactiu,B63461024,B63461024,,931 56 74 08,,info@fitonat.es,https://dietinat.es/,"Passeig, Av. dels Amics d'Argentona, 20, 08310 Argentona, Ba",Argentona,8310
42,Es-Imperfect,inactiu,B42736959,B42736959,Eudelac,931972049,,comunicacio@esimperfect.com,https://esimperfect.com/es/,"C/ de Trafalgar, 25, P 2 PTA 2, L'Eixample, 08010 Barcelona,",,8010
43,[IN]perfecto,inactiu,,,,676 89 54 15,,info@inperfecto.es,https://www.inperfecto.es/,"Parc Barcelona ES, Carrer Jaume Primer, 28, 08759 Vallirana",,8759
44,Juvitu,inactiu,B60588209,B60588209,,933309291,,comptabilitat@caljuvitu.cat,https://gestiona.alimentiumconnect.com/Multimedia/,"Rambla de Modolell, 32, 08840 Viladecans, Barcelona",,8840
45,La trencadora,ocasional,B25408477,B25408477,,977841038,661274998,info@latrencadora.com,https://latrencadora.com/,"c/ Antoni Gaudí nº 11, 43142 El Rourell (TGN)",,43142
46,Nomdonalagana,inactiu,F10733004,F10733004,,,623 31 98 26,nomdonalagana@gmail.com,https://nomdonalagana.cat/es/home/,"C/ Pere IV, 433 bajos A. Barcelona",,8020
47,La neta,inactiu,,,Ingrid,,,,,,,
48,Tartas del norte,habitual,,,,,609 94 14 32,,https://tartasdelnorte.es/,"Carrer de la Font Honrada 17, Barcelona",Barcelona,8004
49,GRUP ALIMENTACIÓ DISTECO,inactiu,A-60911526,A60911526,BET,938 498 059,628428711,,,POLIGON CAN VOLARD,PARETS DEL VALLES,8150
50,Vermut dos deus,inactiu,,,MIQUEL ANGEL OLONIA,664081469,654 595 229,info@elcelleretdelamarta.com,https://elcelleretdelamarta.com/es/vermut-vino-dul,,,
51,MENTABIO SCP,inactiu,J66289265,J66289265,,,647842193,mentabio@mentabio.com,,Carrer Diputació 37 local 2,SANT SADURNI D'ANOIA,8770
52,Makro,habitual,A28647451,A28647451,,937297379,,satencion.clientes01@makro.es,https://www.makro.es/,"Polígono Industrial Las Mercedes, C. de Campezo, 7, 28022 Ma",,28022
53,Multiembalajes,habitual,ESB62835723,B62835723,,937133426,,info@multiembalajes.com,https://www.multiembalajes.com/es/,"c/ Guifre el Pilós, s/n, nave 3,, 08130 Santa Perpètua de Mo",,8130
54,BioArtesa,inactiu,B18983874,B18983874,,,,,,"Llano los cominares - Los Carriones, 188818, 18818, Granada",,188818
55,Expansion Diez SL,inactiu,B66557000,B66557000,,931386421,656458836,,,"C/ SANT SEBASTIAN, 157 P.1 PTA.2.08223,TERRASSA,BARCELONA",,8223
56,Enso L'horta Ferments SL,inactiu,B05432372,B05432372,,,646 00 57 32,info@ensoferments.cat,https://ensoferments.cat/,"Mas l'Horta, 08569 Sant Martí Sescorts, Barcelona",,8569
57,SAFAJA,ocasional,B58420332,B58420332,Albert,938 66 08 43,938662802,safaja@safaja.com,https://www.safaja.com/es/,"C-1413b, 4, 08189 Sant Quirze Safaja, Barcelona",,8189
58,HUEVERIAS DBONET,inactiu,A58058868,A58058868,,933 35 72 12,,dbonet@dbonet.es,https://dbonet.weebly.com/,"Mercabarna, Carrer Transversal, 8, número 48, Sants-Montjuïc",,8040
59,ECOPLAZA,habitual,,,,,,,,,,
60,BADOSA,inactiu,,,,,,,,,,
61,CHIAPANENCA,revisar,,,,,,,,,,
62,Bdebeer,inactiu,,,,,,,,,,
63,BETARA,inactiu,,,,,,,,,,
64,Menjar d'hort,inactiu,,,,,,,,,,
65,ROSTISERIA,inactiu,,,,,,,,,,
66,"VEGETALIA/ MIDSONA IBERIA, S.L.U.",inactiu,B59950097,B59950097,JEANET,938666161,,,,"MAS MONSERRAT, S/N",CASTELLCIR,8183
67,MASSAXUXES,ocasional,J66368168,J66368168,,,,,,"C/ MARE DE DEU DE LORDA, 66",BARCELONA,8033
68,GRUP ALIMENTARI DISTECO,inactiu,,,Bet,938 498 059,,,,"Torre de Cellers,5",PARETS DEL VALLÉS,8150
70,OLIVIAS SELECCIONS SL,inactiu,,,,934436660,,comercial@olivias.es,www.olivias.es,C/ MOTORS 147 - 155,,8038
75,FORMATGES MAS EL GARET SL.,inactiu,B64202849,B64202849,DAVID PEREZ DE TUDELA,938125881,659695762,formatges@maselgaret.cat,,MAS EL GARET S/N,TONA,8551
76,XALOC,inactiu,46564158-Z,46564158Z,DAVID PEREZ DE TUDELA,,648959354,,,PAU CASALS 11 A,MOIÀ,8004
77,TRANSGOURMET,habitual,ESA17371758,A17371758,LAURA,,,,,Poligono emporda internacional,Vilamalta,
78,PORTAL BERGUEDÀ,inactiu,,,PERE,938 248 331,671 40 88 37,,,Crta. C-16 KM 107,CERCS,8698
